,simulation_id,wind_speed,fuel_load_category,control_fuel_load,treatment_fuel_load,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,circle_radius,fuel_model,resolution,ros
132,132,1.9545,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
133,133,2.0,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
134,134,2.0455,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
135,135,2.0909,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
136,136,2.1364,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
137,137,2.1818,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
138,138,2.2273,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
139,139,2.2727,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
140,140,2.3182,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
141,141,2.3636,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
142,142,2.4091,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
143,143,2.4545,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
144,144,2.5,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
145,145,2.5455,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
146,146,2.5909,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
147,147,2.6364,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
148,148,2.6818,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
149,149,2.7273,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
150,150,2.7727,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
151,151,2.8182,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
152,152,2.8636,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
153,153,2.9091,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
154,154,2.9545,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
