simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
266,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,3.1
267,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,3.2
268,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,3.3
269,pfm,1.8,0.6,0.6,0.15,0.15,6561,6561,0.31,3.4
270,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,2.0
271,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,2.1
272,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,2.2
273,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,2.3
274,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,2.4
275,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,2.5
276,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,2.6
277,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,2.7
278,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,2.8
279,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,2.9
280,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,3.0
281,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,3.1
282,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,3.2
283,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,3.3
284,pfm,2.25,0.6,0.1,0.15,0.15,6561,6561,0.31,3.4
285,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,2.0
286,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,2.1
287,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,2.2
288,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,2.3
289,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,2.4
290,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,2.5
291,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,2.6
292,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,2.7
293,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,2.8
294,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,2.9
295,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,3.0
296,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,3.1
297,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,3.2
298,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,3.3
299,pfm,2.25,0.6,0.2,0.15,0.15,6561,6561,0.31,3.4
300,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,2.0
301,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,2.1
302,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,2.2
303,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,2.3
304,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,2.4
305,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,2.5
306,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,2.6
307,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,2.7
308,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,2.8
309,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,2.9
310,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,3.0
311,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,3.1
312,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,3.2
313,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,3.3
314,pfm,2.25,0.6,0.3,0.15,0.15,6561,6561,0.31,3.4
315,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,2.0
316,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,2.1
317,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,2.2
318,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,2.3
319,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,2.4
320,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,2.5
321,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,2.6
322,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,2.7
323,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,2.8
324,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,2.9
325,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,3.0
326,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,3.1
327,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,3.2
328,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,3.3
329,pfm,2.25,0.6,0.4,0.15,0.15,6561,6561,0.31,3.4
330,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,2.0
331,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,2.1
332,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,2.2
333,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,2.3
334,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,2.4
335,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,2.5
336,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,2.6
337,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,2.7
338,pfm,2.25,0.6,0.5,0.15,0.15,6561,6561,0.31,2.8
